GA,SA,J1,J2,RegEx,,MQ,MQID,Qtype
 It would stay the same as the input.,Rheostat is a resistor which can be adjusted to maintain the flow and when resistance ,3,4,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,the voltmeter would get a lower reading depending on how high the rheostat resistance is which might raise or lower the amount of A (amps) the circuit gives.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The reading would be lower.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,it would increase,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The resistance resists the current and rheostat is a variable resistor. The rheostat resistance and voltage are inversely proportional to each other. So in this case the increase in rheostat resistance decreases the voltmeter reading.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The voltmeter reading will decrease.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,What should happen is that less current is going out of the rheostat to the voltmeter. Therefore the voltage of the voltmeter should go down. The fact that the switch is open shouldn't matter since the voltmeter has its own path that is completing the circuit.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,Voltmeter reading shall increase (if switch is closed),3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The reading of the voltmeter would be fixed or stay the same.,6,6,0.5,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The voltage will decrease.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,If the resistance is increased there will be lesser current flow.If the resistance is increased there will be lesser current flow.If the resistance is increased there will be lesser current flow.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The voltage of the voltmeter would decrease because of the increased resistance of the rheostat.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,the voltage should stay the same as before the resistance was increased.,6,6,0.5,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,Since I know that if this was a D/C Circuit and if the voltage increase but the resistance stays the same then current flow will increase; Since then if resistance will increase then voltage has to remain the same thus causing current to decrease.,3,6,0.5,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,It would require more voltage for the switch to work.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,If you increase the amount of resistance the voltage should increase - Ohm's Law.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
 It would stay the same as the input.,The voltage would decrease.,3,3,0,1,  If we increase the rheostat resistance  what would happen to the reading of the voltmeter?,1,KC
